,0,1,2,3,4,5,6
102,1336,0.332261481,10.0.0.8,10.0.0.14,UDP,500,45397 → 28866 Len=458
103,1340,0.333027759,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
104,1347,0.335047316,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
105,1369,0.338159993,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
106,1376,0.340687034,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
107,1381,0.342434407,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
108,1385,0.343499290,10.0.0.8,10.0.0.13,UDP,435,45397 → 28866 Len=393
109,1393,0.345008071,10.0.0.8,10.0.0.11,UDP,204,45397 → 28866 Len=162
110,1415,0.350804153,10.0.0.9,10.0.0.14,UDP,984,55878 → 28866 Len=942
111,1433,0.353804079,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
112,1445,0.356390904,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
113,1451,0.357669521,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
114,1457,0.359693468,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
115,1480,0.364938056,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
116,1490,0.367931120,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
117,1502,0.371505894,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
118,1507,0.372847475,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
119,1513,0.374898507,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
120,1539,0.378530918,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
121,1560,0.383468950,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
122,1568,0.386194009,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
123,1575,0.388591660,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
124,1585,0.391155872,10.0.0.8,10.0.0.11,UDP,354,45397 → 28866 Len=312
125,1594,0.392585288,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
126,1601,0.394776957,10.0.0.10,10.0.0.15,UDP,856,37053 → 28866 Len=814
127,1603,0.394899972,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
128,1612,0.397585412,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
129,1616,0.399091680,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
130,1623,0.400424538,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
131,1636,0.405014020,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
132,1656,0.408597071,10.0.0.8,10.0.0.14,UDP,942,45397 → 28866 Len=900
133,1663,0.409833969,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
134,1692,0.418301540,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
135,1723,0.423343508,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
136,1730,0.425500997,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
137,1796,0.439836227,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
138,1818,0.446914868,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
139,1834,0.452807104,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
140,1839,0.453395691,10.0.0.10,10.0.0.13,UDP,232,37053 → 28866 Len=190
141,1840,0.453403195,10.0.0.9,10.0.0.11,UDP,568,55878 → 28866 Len=526
